Ward Code,residents,work_from_home,train,bus,motorcycle,driving,passenger,carpool,taxi,bicycle,walking,other,public
95RR14,"1,203",180,3,170,0,495,172,104,13,0,52,14,173
95RR15,"1,548",225,6,235,0,574,188,136,11,0,165,8,241
95SS01,"3,405",370,101,375,11,"1,658",467,254,12,8,115,34,473
95SS02,"2,885",230,103,149,13,"1,274",529,242,15,17,291,22,252
95SS03,"2,273",302,26,219,1,"1,121",365,157,8,4,48,22,245
95SS04,"5,411",435,146,330,14,"2,486",944,400,65,32,525,34,476
95SS05,"2,082",193,44,104,7,"1,034",324,139,19,20,187,11,148
95SS06,"3,320",541,17,846,5,567,421,135,180,13,575,20,863
95SS07,"6,367",645,173,"1,136",14,"2,295",980,415,162,39,483,25,1309
95SS08,"3,195",311,29,448,4,"1,577",443,193,16,10,139,25,477
95SS09,"2,286",276,25,230,5,"1,110",380,165,10,29,47,9,255
95SS10,"3,152",247,180,468,7,"1,182",448,245,33,20,310,12,648
95SS11,"4,112",458,36,590,8,"1,848",685,306,20,11,112,38,626
95SS12,"1,921",189,90,145,6,817,260,153,14,20,217,10,235
95SS13,"1,709",157,75,106,8,579,158,107,26,25,459,9,181
95SS14,"1,707",148,32,108,7,672,275,110,19,12,320,4,140
95SS15,"2,368",283,21,311,6,"1,132",286,168,6,6,124,25,332
95SS16,"1,862",179,50,313,3,560,298,133,77,9,229,11,363
95SS17,"2,763",200,76,132,4,"1,218",410,201,54,34,422,12,208
95SS18,"1,665",154,52,118,3,572,235,113,31,16,364,7,168
95SS19,"1,736",138,79,163,11,709,215,147,14,16,241,3,242
95SS20,"1,536",155,92,57,9,655,195,110,12,9,239,3,149
95SS21,"3,392",323,86,361,8,"1,704",497,228,19,6,137,23,447
95SS22,"2,041",160,76,189,9,845,344,140,12,43,209,14,265
95SS23,"2,505",210,35,262,9,"1,294",429,175,13,9,55,14,296
95SS24,"3,521",324,140,405,8,"1,624",421,290,15,13,252,29,545
95SS25,"1,398",156,21,117,5,360,184,87,33,12,413,10,138
95SS26,"2,308",236,18,493,6,616,319,151,134,4,324,7,511
95SS27,"1,460",106,50,226,4,556,143,108,13,22,227,5,276
95SS28,"1,499",182,51,103,1,463,157,81,32,14,408,7,154
95SS29,"1,391",197,11,265,2,289,144,69,117,7,287,3,276
95SS30,"2,225",296,84,130,8,734,241,116,7,38,554,17,213
95TT01,"1,882",226,7,233,1,826,357,156,6,2,53,15,240
95TT02,"1,722",224,2,273,1,686,220,170,9,1,124,12,275
95TT03,"2,121",256,2,228,2,870,389,197,5,4,151,17,230
95TT04,"1,900",225,7,182,4,745,338,142,9,0,231,17,189
95TT05,"1,921",210,7,88,1,725,385,129,8,1,355,12,94
95TT06,"1,782",197,4,265,0,770,264,155,9,2,96,20,269
95TT07,"1,866",248,0,202,1,865,319,133,10,2,65,21,202
95TT08,"1,914",310,2,220,0,858,308,131,14,1,52,18,222
95TT09,"1,933",253,5,283,2,847,257,143,4,3,110,26,288
95TT10,"1,681",205,1,148,2,676,193,141,7,4,294,10,149
95TT11,"2,194",281,2,312,0,941,379,158,9,5,87,20,314
95TT12,"1,694",228,0,169,2,730,340,133,4,3,70,15,169
95TT13,"1,851",155,3,97,2,709,312,168,12,4,374,15,100
95TT14,"1,327",143,0,77,0,577,216,93,8,1,202,10,77
95TT15,"1,561",211,2,278,2,651,238,113,5,2,47,12,280
95TT16,"1,760",256,4,254,1,746,264,117,10,7,78,23,258
95UU01,669,76,3,90,2,271,101,56,3,0,63,4,93
95UU02,583,81,4,49,4,224,99,48,3,1,64,6,53
95UU03,425,94,8,25,0,162,40,37,1,3,44,11,33
95UU04,371,46,2,44,1,125,52,23,1,2,72,3,45
95UU05,618,95,2,104,0,277,87,37,2,1,13,0,105
95UU06,900,92,4,57,1,354,112,72,12,2,187,7,61
95UU07,498,106,1,61,0,220,54,30,6,1,12,7,62
95UU08,685,86,4,93,0,260,73,72,5,2,85,5,97
95UU09,"1,083",185,2,159,0,417,113,83,5,4,109,6,161
95UU10,744,134,2,108,2,312,94,46,2,0,37,7,110
95UU11,646,132,1,96,1,234,94,52,2,0,30,4,97
95UU12,745,88,3,43,2,279,85,50,10,7,172,6,46
95UU13,554,106,1,87,2,205,74,39,5,1,29,5,87
95UU14,978,118,3,69,1,363,179,73,7,4,154,7,72
95UU15,547,106,5,102,0,229,54,36,0,0,9,6,107
95VV01,"1,979",212,4,277,1,870,299,184,8,7,97,20,280
95VV02,"1,081",79,7,79,4,309,160,84,19,15,318,7,86
95VV03,"1,397",193,12,171,2,515,234,87,15,4,153,11,183
95VV04,"2,022",259,3,235,1,867,386,162,13,8,65,23,238
95VV05,"3,126",368,15,476,3,"1,256",554,251,18,8,156,21,491
95VV06,"2,153",294,18,265,2,806,419,169,18,9,137,16,283
95VV07,"2,762",285,11,405,2,984,402,201,41,8,398,25,416
95VV08,"1,785",296,10,309,0,623,276,142,24,4,88,13,319
95VV09,"1,458",200,12,162,2,569,239,97,16,4,152,5,174
95VV10,"1,830",217,5,174,3,521,331,127,51,14,377,10,179
95VV11,"3,029",316,25,272,3,"1,267",648,261,36,13,170,18,297
95VV12,"1,922",226,12,163,2,743,358,156,33,8,213,8,175
95VV13,"2,373",341,6,385,4,980,372,181,18,4,61,21,390
95VV14,"2,041",231,22,132,1,812,380,168,22,13,249,11,154
95VV15,"1,852",226,7,114,2,611,314,123,41,16,382,16,121
95VV16,"2,021",256,12,251,3,814,361,167,23,4,113,17,263
95VV17,"2,767",307,19,463,4,"1,142",442,207,19,13,135,16,482
95VV18,"2,210",252,13,110,5,817,424,177,20,23,337,32,123
95VV19,"1,685",172,5,158,3,654,299,153,14,13,198,16,163
95VV20,"1,913",323,7,277,3,743,317,149,12,7,54,21,284
95VV21,"2,724",412,11,454,3,"1,092",407,206,24,6,85,24,465
95VV22,"1,758",293,6,264,1,703,277,95,14,5,81,19,270
95VV23,"1,694",202,14,273,5,693,215,128,16,9,122,17,286
95VV24,"1,715",222,15,226,5,648,233,110,16,9,212,19,241
95VV25,"2,301",280,14,540,4,922,280,153,9,4,85,10,554
95VV26,"2,280",284,8,370,2,940,372,155,19,3,104,23,378
95VV27,"1,219",138,10,82,3,392,202,91,30,10,256,5,91
95VV28,"2,115",216,13,128,3,755,409,178,27,14,361,11,141
95VV29,"2,255",324,11,366,3,893,364,207,14,6,52,15,377
95VV30,"1,839",191,12,90,5,779,338,186,29,6,195,8,101
95WW01,"1,616",155,72,190,7,665,211,101,15,22,174,4,262
95WW02,"2,427",185,11,173,3,"1,075",383,167,18,11,390,11,184
95WW03,"2,335",186,26,149,10,"1,056",348,178,16,8,350,8,175
95WW04,"1,820",127,15,328,12,768,288,140,13,9,114,6,343
95WW05,"1,719",144,13,271,12,750,215,129,14,7,155,9,284
95WW06,"2,159",243,33,193,9,"1,092",342,136,6,9,88,8,226
95WW07,"2,897",242,34,209,8,"1,470",451,205,16,10,234,18,243
95WW08,"1,602",109,12,256,5,693,191,116,18,11,185,6,268
95WW09,"1,359",95,10,206,4,577,184,101,13,3,160,6,216
95WW10,"1,825",161,32,251,11,745,269,111,26,16,197,6,283
95WW11,"2,147",156,7,378,5,925,361,161,15,9,122,8,385
95WW12,"1,286",109,8,242,8,396,184,61,31,13,225,9,250
95WW13,"2,589",269,16,195,7,"1,308",429,197,18,13,118,19,211
95WW14,"1,199",101,7,210,7,380,194,60,20,10,205,5,217
95WW15,"2,229",172,7,416,9,929,288,139,20,12,230,7,423
95WW16,"1,836",161,9,315,15,730,195,91,34,7,272,7,324
95WW17,"1,344",89,22,240,8,568,188,90,19,8,103,9,262
95WW18,"1,287",81,7,206,11,529,169,92,18,5,164,5,213
95WW19,"4,494",342,185,363,14,"2,084",902,345,14,35,184,26,548
95WW20,"6,279",548,36,794,22,"3,022","1,038",509,33,25,235,17,830
95WW21,"2,215",185,51,334,10,786,283,139,32,19,371,5,385
95WW22,"1,889",167,49,335,6,728,219,138,21,10,201,15,384
95WW23,"3,582",818,152,297,13,"1,079",362,207,17,32,588,17,282
95WW24,"1,944",202,17,342,7,655,288,116,52,14,241,10,359
95WW25,"1,022",69,17,147,7,372,134,78,25,7,160,6,164
95XX01,"3,948",277,137,236,17,"1,934",759,307,29,20,213,19,373
95XX02,"1,702",189,67,63,6,740,279,122,8,18,188,22,130
95XX03,"1,735",150,78,85,6,853,252,159,15,11,113,13,163
95XX04,"2,540",200,89,156,11,"1,146",450,257,28,22,171,10,245
95XX05,"1,446",101,81,59,5,617,200,120,24,8,223,8,140
95XX06,"2,411",182,67,165,15,"1,040",430,185,42,11,267,7,232
95XX07,"1,591",116,107,69,5,736,239,120,9,9,170,11,176
95XX08,"1,516",105,101,118,7,684,158,119,18,7,189,10,219
95XX09,"1,534",138,71,66,8,723,215,119,12,17,153,12,137
95XX10,"3,462",286,75,303,25,"1,432",695,255,45,26,301,19,377
95XX11,"4,237",318,124,383,22,"1,953",778,366,53,29,190,21,507
95XX12,"1,497",229,112,71,6,657,239,92,4,5,70,12,177
95XX13,"1,555",188,131,59,3,732,297,86,4,8,38,9,190
95XX14,"1,513",176,104,52,6,706,305,92,6,8,44,14,155
95XX15,"1,367",103,34,150,7,601,166,98,24,14,161,9,184
95XX16,"1,587",148,65,69,4,842,253,116,12,9,54,15,134
95XX17,"1,892",202,160,124,11,633,189,113,26,35,384,15,284
95XX18,"1,955",221,197,85,5,695,178,93,13,18,434,16,282
95XX19,"1,670",148,124,53,5,730,328,107,9,10,147,9,177
95XX20,"2,125",267,50,201,11,694,225,111,25,31,479,31,248
95XX21,"1,535",150,107,82,7,693,234,113,8,10,117,14,189
95XX22,"1,358",122,73,78,12,553,156,113,18,7,217,9,151
95XX23,"2,010",171,109,110,10,846,249,172,41,17,273,12,219
95XX24,"1,613",133,89,144,5,697,226,133,17,9,152,8,233
95XX25,"1,400",113,70,78,11,485,209,79,25,16,299,15,148
95YY01,"1,655",288,2,212,1,685,295,102,10,0,48,12,214
95YY02,"1,273",136,7,61,3,516,287,91,18,6,143,5,68
95YY03,"2,083",330,2,259,1,916,353,149,10,3,49,11,255
95YY04,"2,157",223,3,90,2,851,515,156,13,14,283,7,93
95YY05,903,73,2,46,0,372,151,66,6,6,175,6,48
95YY06,"1,438",199,2,244,3,574,191,111,11,2,89,12,246
95YY07,"1,847",270,2,340,2,761,271,125,12,5,40,19,342
95YY08,"1,391",202,1,256,3,570,203,97,7,4,40,8,257
95YY09,"1,307",149,4,49,3,548,224,128,13,15,165,9,53
95YY10,"1,480",240,4,170,1,637,284,92,11,1,26,14,174
95YY11,"1,172",200,1,172,1,462,156,93,5,3,72,7,173
95YY12,"1,908",297,2,261,1,806,277,153,12,4,90,5,263
95YY13,"1,645",175,0,99,3,594,302,153,21,8,281,9,99
95YY14,"2,077",221,3,141,3,844,448,171,22,11,203,10,144
95YY15,"1,038",135,0,124,4,320,150,65,22,14,201,3,124
95YY16,"1,631",267,2,296,2,649,199,159,6,0,32,19,298
95YY17,"1,518",254,1,319,0,617,143,117,6,1,46,14,320
95YY18,"1,540",264,2,348,0,613,157,98,14,2,33,9,350
95YY19,781,118,1,34,0,277,118,59,12,12,144,6,35
95YY20,"1,473",295,4,299,0,576,146,94,3,4,37,15,303
95YY21,"1,603",225,4,308,0,702,173,119,8,2,47,15,312
95ZZ01,"1,711",223,5,287,3,735,231,117,25,6,69,10,292
95ZZ02,899,126,2,79,0,247,131,43,19,4,238,10,81
95ZZ03,"1,002",123,0,134,0,380,147,58,9,2,138,11,134
95ZZ04,"1,645",285,1,228,0,668,231,129,11,3,73,16,229
95ZZ05,"1,333",180,5,286,2,554,139,91,16,6,39,15,291
95ZZ06,710,110,1,86,0,150,109,44,24,5,180,1,87
95ZZ07,"1,617",223,3,260,0,637,213,122,19,9,112,19,263
95ZZ08,"1,448",256,3,317,0,532,160,104,16,2,49,9,320
95ZZ09,"1,249",203,1,223,1,446,144,65,12,3,139,12,224
95ZZ10,"1,847",201,4,211,1,686,346,144,26,17,203,8,215
95ZZ11,"1,388",244,1,330,0,543,111,102,9,2,39,7,331
95ZZ12,"1,173",134,1,184,1,457,179,74,21,4,110,8,185
95ZZ13,"1,560",235,4,250,5,709,189,96,12,4,38,18,254
95ZZ14,"1,954",218,5,153,0,673,293,145,58,6,393,10,158
95ZZ15,"1,329",260,2,215,0,529,159,81,14,2,55,12,217
95ZZ16,"1,902",229,1,184,0,657,399,123,38,10,251,10,185
